school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
486,0.0154352327711008,0.0362951381062736,0.0612406003122445,-0.221969736894842,203,203,203,195,TRUE,math_area_institution,-0.0267266829970843,0.0211483630299339,0.0367230386056887,0.0051503328250623,0.0362950514636006,0
516,-0.037947194498931,-0.0371961040760121,0.0012734540131629,-0.177991440724539,195,195,195,191,TRUE,math_area_institution,-0.0213956302609145,0.0134455704705079,-0.0279624475980858,-0.00128368333019254,-0.0371961907186851,0
517,0.0144476150963357,0.0207170283474485,0.0445261121453236,-0.142623074240167,523,523,523,514,TRUE,math_area_institution,-0.0171082739206367,0.0142524907346615,0.0287150520079374,-0.0051423271171866,0.0207169417047755,0
518,-0.0057979178296958,0.0002991527307989,0.0222324399622083,-0.0436863365241628,133,133,133,130,TRUE,math_area_institution,-0.00511515430849564,0.0110252071777213,-0.00295152201078305,-0.00265946477031671,0.000299066088125944,5.42101086242752e-20
521,0.0368624983312704,0.051516894718744,0.0471705974795419,-0.0685519614110697,49,49,49,47,TRUE,math_area_institution,-0.00812936743482016,0.00785785519233999,0.0478501492652747,0.00393817105327658,0.0515168080760711,0
526,0.0198938314742271,0.0117438319508341,0.0520588389885341,0.187897632430331,114,114,114,113,TRUE,math_area_institution,0.0229574737571084,0.0136252330975973,0.00625887989773186,-0.0310978414442765,0.0117437453081611,1.73472347597681e-18
530,-0.0418941507597864,-0.0401229278641901,-0.0009970892636639,-0.200959260164361,140,140,140,137,TRUE,math_area_institution,-0.024179791252381,0.0139030083942778,-0.0304710806918052,0.000624849043045231,-0.0401230145068631,0
531,0.0544059488036831,0.0637424718589109,0.0819552813720908,-0.0720666240445546,62,62,62,60,TRUE,math_area_institution,-0.00855541513290278,0.0164002918825153,0.0681595199048797,-0.0122620114382543,0.0637423852162379,0
532,0.0162645081891388,0.0234644597916273,0.0341454006491454,0.176367314634927,9,9,9,9,TRUE,math_area_institution,0.0215597676705866,0.00761175129428757,0.00312045234034638,-0.00882759815626616,0.0234643731489543,0
535,0.0103789305418754,0.0229155233424918,0.058173495460474,-0.0721510504729524,80,80,80,76,TRUE,math_area_institution,-0.00856564931160703,0.020609444664723,0.0179634767586866,-0.00709183541198372,0.0229154366998188,0
565,0.0143543433910906,0.0203245709334322,0.0180726368353821,-0.145252488027288,226,226,226,222,TRUE,math_area_institution,-0.0174270116796002,0.00363716640653287,0.0288367475048504,0.00527758205897618,0.0203244842907592,0
567,0.0785936236562594,0.0939436541882196,0.0650538168879696,0.0525969929743988,270,270,270,267,TRUE,math_area_institution,0.00655631893783365,0.00127425537171679,0.0849281637427966,0.00118482949319965,0.0939435675455466,0
568,-0.018009757134472,-0.0242564247117267,-0.0039682417460664,-0.064074913045905,156,156,156,156,TRUE,math_area_institution,-0.00758665925793558,0.00441321162198378,-0.0151081809480486,-0.00597488277039928,-0.0242565113543997,0
570,0.0832405467194527,0.108381425002573,0.0466543643568509,0.0317756876953885,157,157,157,156,TRUE,math_area_institution,0.00403235857228299,-0.00747273712287357,0.0920328361963738,0.0197888807141168,0.1083813383599,0
