school_rbd,exam_taking_va,area_income_va,program_income_full_va,institution_income_va,math_va,exam_taking_n,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_exam_taking_va,program_income_full_component_math_va,program_income_full_component_area_income_va,program_income_full_component_institution_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
366,0.0856022934321752,0.112352018212162,0.173836711461478,0.13847008637061,0.56756177741293,234,224,224,224,224,TRUE,exam_math_area_institution,0.00731328296209698,0.0615803228774027,0.079809485072979,0.0174107678827964,0.00772276602352995,0.173836624818805,0
367,0.0593886209263169,0.0154392116725494,0.0304305460256725,0.0325637179488196,-0.0767426256329898,388,285,285,285,277,TRUE,exam_math_area_institution,0.00416675422599729,-0.0120941409598548,0.0213935364367263,0.00867062843912022,0.00829368124101061,0.0304304593829995,0
371,-0.135446943878815,0.0047308803236161,0.0071898549025816,0.0007637131029632,-0.0285863292872222,15,4,4,4,4,TRUE,exam_math_area_institution,-0.0192201139564962,0.0115894974095628,0.0187148579282877,-0.000532472920028794,-0.00336200020141695,0.00718976825990864,8.67361737988404e-19
372,-0.0315422010132289,-0.0384242231106931,-0.0376855242969145,-0.0131529948184016,-0.104648921233816,287,182,182,182,174,TRUE,exam_math_area_institution,-0.00674802485221097,-0.00699112840495699,-0.0321443450156551,0.00750144668976809,0.000696440643467564,-0.0376856109395875,0
373,0.0327196844235051,-0.0183965790800743,-0.0094637994013554,0.0234178920520062,-0.0599518222215249,328,287,287,287,284,TRUE,exam_math_area_institution,0.000965578387374831,-0.00764776381820159,-0.017089007023181,0.0155829495468044,-0.00127564313682504,-0.00946388604402836,0
379,-0.0221649783274048,-0.0220279572352246,-0.0136002735569007,0.0354633791899757,-0.130018597906194,573,376,376,376,372,TRUE,exam_math_area_institution,-0.00562244045959458,-0.0108535534701928,-0.0118745524515885,0.0221737762936514,-0.00742359011184918,-0.0136003601995737,0
381,-0.0209808530860437,,,,,1,,,,,FALSE,,,,,,,,
384,0.0091053624296319,0.0170656760186027,0.0420288354929566,0.0307256128739492,-0.103391078418987,405,291,291,291,285,TRUE,exam_math_area_institution,-0.00186894022960368,-0.0105970123892293,0.0288811691628745,0.00771972761319018,0.017893804693052,0.0420287488502837,0
392,0.0468334879176374,0.0241639386948252,0.0284225217283891,0.051774828664463,-0.0990209479053778,255,220,220,220,220,TRUE,exam_math_area_institution,0.00265971293719904,-0.0135656629605777,0.0340965797351697,0.0138821825668887,-0.0086503771929636,0.0284224350857161,0
396,-0.0527734213775935,0.0089704040229351,0.0345201330024949,0.048109796296589,-0.16349582137014,463,286,286,286,274,TRUE,exam_math_area_institution,-0.00929649054178608,-0.0119802169618641,0.028641088030323,0.0178427328547766,0.00931293297837255,0.034520046359822,0
397,0.0239042257109886,-0.0197202737937776,-0.031163252213069,-0.0321843779451709,0.0071587813050037,5,2,2,2,2,TRUE,exam_math_area_institution,-9.25752976776764e-05,0.00109259456680158,-0.0233616837278529,-0.00689728401128126,-0.00190439038573168,-0.031163338855742,0
399,-0.124612945675406,0.0863081230944466,0.131232773893705,0.154424024741562,-0.0390166345046844,538,238,238,238,231,TRUE,exam_math_area_institution,-0.0179196671508736,0.0093569338616493,0.112801975485417,0.0361524778424374,-0.00915903278759769,0.131232687251032,0
400,0.05047588295048,-0.007147359562632,0.0230646183916927,0.0568140167612329,-0.0622892037845325,532,440,440,440,430,TRUE,exam_math_area_institution,0.00309692373383598,-0.00956388496429208,-0.00517023463255259,0.0255458343755332,0.00915589323649521,0.0230645317490197,0
415,0.0552132269015381,-0.0101320888116922,0.0092835459403881,0.0579402376048845,-0.164246109273974,302,278,278,278,277,TRUE,exam_math_area_institution,0.00366556549402662,-0.0220430952280516,-0.000797379028040148,0.0275048653876352,0.000953502672145152,0.00928345929771514,0
416,-0.0631640408912385,,,,,2,,,,,FALSE,,,,,,,,
419,-0.13171936742535,0.0036372256256662,0.0051761728489139,0.0065348652504858,,14,1,1,1,,FALSE,,,,,,,,
420,-0.147335176389265,0.0519029539752273,0.0898241486021179,0.108119323815091,-0.052653954725048,271,123,123,123,117,TRUE,exam_math_area_institution,-0.0206471045930507,0.00984505062747669,0.0758192409094562,0.0283395192744561,-0.00353264425889341,0.089824061959445,0
429,0.0523931689160699,0.0683377620426124,0.110025869643425,0.113716075142013,-0.0529085149439554,544,502,502,502,499,TRUE,exam_math_area_institution,0.00332706300122406,-0.00863306822393263,0.0809329530148538,0.0248326411143547,0.00956619409425213,0.110025783000752,0
430,-0.0792535985320258,0.0144489108861138,0.0407506571721092,0.0476618123910126,-0.162136482593642,224,146,146,146,143,TRUE,exam_math_area_institution,-0.0124750088640399,-0.00937381113279195,0.036681309040632,0.0160128030149948,0.00990527847064132,0.0407505705294362,0
431,0.120340272763311,0.0152590799773553,0.0537682791022448,0.10134721679626,-0.0501053133929422,192,173,173,173,170,TRUE,exam_math_area_institution,0.0114830172934856,-0.0145779792016254,0.014833935109062,0.0362752495855785,0.00575396967307105,0.0537681924595719,0
433,0.0638737588033412,0.0568579717010641,0.0745800652923885,0.0650495356822063,-0.152708933520131,296,257,257,257,253,TRUE,exam_math_area_institution,0.00470512271336861,-0.0214804309595789,0.0748769190950211,0.0092416413346434,0.00723672646626139,0.0745799786497156,0
437,0.0375084716397185,0.109117514439538,0.152809319207135,0.119423930571032,-0.0234664490691216,1048,886,886,886,879,TRUE,exam_math_area_institution,0.00154039508211743,-0.00378097086590855,0.126606423569209,0.0142090430491317,0.0142343417299121,0.152809232564462,0
