cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2020,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,204557,10228,250000,12.4292161968444,250000,12.4292161968444,-0.0848931094545239,0.1060846784801,0.00104895608051102
2013,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,193933,9696,350000,12.7656884334656,350000,12.7656884334656,-0.0571139166628043,0.115410494485273,0.00117205771622144
2014,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,201268,10063,350000,12.7656884334656,350000,12.7656884334656,-0.0558486123061406,0.11631552218288,0.00115950850460119
2015,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,197533,9876,350000,12.7656884334656,350000,12.7656884334656,-0.0565042514293556,0.114976707087672,0.00115696261485642
2016,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,198196,9909,350000,12.7656884334656,350000,12.7656884334656,-0.0537660971938504,0.115281994906726,0.00115810135287616
2017,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,184854,9243,350000,12.7656884334656,350000,12.7656884334656,-0.0546412542241971,0.115221535043518,0.00119847003596701
2018,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,199333,9966,350000,12.7656884334656,350000,12.7656884334656,-0.0539187341718191,0.116150701931402,0.00116348663068856
2019,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,200814,10041,350000,12.7656884334656,350000,12.7656884334656,-0.054206470298927,0.11733276126821,0.00117092966225945
2020,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,50,p50,47.5,52.5,204557,10228,350000,12.7656884334656,350000,12.7656884334656,-0.0548186154120977,0.11463454881926,0.00113349645531666
2013,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,193933,9697,450000,13.0170028617465,453434.051768588,13.0239872767012,-0.0225472694849067,0.117381695193936,0.0011920148871742
