school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
50,-0.0103817261461727,-0.0148939678654756,0.0019333879559028,0.0939689205604996,179,179,179,178,TRUE,0.0115714274564632,-0.00467153461968991,-0.011979601644227,-0.00981434570069483,-0.0148940545081486,1.73472347597681e-18
52,-0.0160877884681943,-0.028388503463374,0.0041550729514112,-0.0930968013192692,1055,1055,1055,1036,TRUE,-0.0111046949792241,0.00997419487412995,-0.0131172523290438,-0.0141408376719091,-0.028388590106047,0
56,0.075281938600794,0.0799740292889243,0.0885977300235926,0.193932689410934,269,269,269,269,TRUE,0.0236890438685287,0.0677641140394544,0.0120922105556651,-0.0235714258173968,0.0799739426462514,-1.38777878078145e-17
59,0.0077867767119579,0.0084014897856832,-0.0012600381651466,0.190083287160044,127,127,127,127,TRUE,0.0232224190060566,-0.0140711674872458,0.00225378522217856,-0.00300363359797916,0.00840140314301024,0
60,-0.0234412486541185,-0.0328357847763497,-0.0086831383960033,-0.022790638726971,245,245,245,243,TRUE,-0.0025821760756755,-0.00649646139131714,-0.0144154780259221,-0.00934175592610794,-0.0328358714190227,0
67,0.0514890033043708,0.059547513929288,0.0856369975924065,0.0741896857844953,148,148,148,146,TRUE,0.00917378696435233,0.0731347993359094,-0.00305450782295859,-0.0197066511906881,0.059547427286615,0
69,0.0582558975776791,0.0714469560448885,0.0452060812065539,0.548447327802635,158,158,158,157,TRUE,0.0666633379542215,0.00421213133726589,0.0112314050587791,-0.0106600049480509,0.0714468694022156,-1.38777878078145e-17
72,-0.0018589860012185,-0.004131717278142,8.77319724649e-05,-0.141335930757123,1,1,1,1,TRUE,-0.0169522462800807,0.00951154969474381,0.00194326136896192,0.00136563129556005,-0.00413180392081496,0
78,-0.021032994144876,-0.032173938260881,-0.0163921975125775,-0.0471973464852701,22,22,22,22,TRUE,-0.00554075922932746,-0.0118935063504381,-0.00787201669542226,-0.00686774262836611,-0.032174024903554,-6.93889390390723e-18
97,0.0790759199362237,0.081890226267825,0.0494006289356316,-0.110146290185357,95,95,95,92,TRUE,-0.0131714354440634,0.0524607962850442,0.0429109606428995,-0.00031018185872822,0.0818901396251521,0
103,-0.0427510469924805,-0.0601607066700013,-0.0643132272573009,-0.121815778090473,98,98,98,93,TRUE,-0.0145860117429123,-0.0506422309044488,0.000517899137271194,0.00454955019741565,-0.0601607933126743,0
106,0.0010175778785153,0.0012130347944452,-0.0186266120638522,-0.231658728234902,89,89,89,82,TRUE,-0.0279011833368457,-0.00149455113428402,0.0161554070370209,0.0144532755858811,0.00121294815177225,-1.73472347597681e-18
107,0.06392117313545,0.0636196489754342,0.0182917542392788,-0.11740500132726,92,92,92,88,TRUE,-0.0140513370151533,0.0245289775197414,0.0464459036269064,0.0066960182012667,0.0636195623327613,0
108,-0.0086940220275711,-0.0103166763092427,0.0303171396450218,-0.152186463846987,119,119,119,114,TRUE,-0.0182675488078008,0.0378611923307439,-0.0188720628517134,-0.0110383436231454,-0.0103167629519157,0
