school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_va_joint,highinst_va_joint,highpay_va_joint
521,0.0697632445998901,0.0402976497094241,0.0711840781239235,-0.0571429967345577,67,62,67,48,-0.0304337712266262,0.0697486658620563,0.0407739143143877
526,-0.0153211341308782,-0.0134025049762162,0.0135102839012344,0.197198311202666,131,128,131,114,0.223907536710598,-0.015335712868712,-0.0129262403712526
530,-0.0077420939259017,-0.0245965984056359,-0.0480584796114251,-0.197579005919986,215,191,215,137,-0.170869780412055,-0.00775667266373549,-0.0241203338006723
531,0.0207785738721031,0.0575798661494056,0.0885885480999135,-0.0779447452528653,83,77,83,60,-0.0512355197449338,0.0207639951342693,0.0580561307543692
532,0.0147889887637471,-0.0523074749550465,-0.122441333689494,0.180168424126271,87,85,87,9,0.206877649634203,0.0147744100259133,-0.0518312103500829
535,0.0449476549694965,0.0197180850736065,0.035949014010942,-0.0694685636896298,108,98,108,78,-0.0427593381816983,0.0449330762316627,0.0201943496785701
565,0.0447231435422282,0.0255936282893075,0.0719233892016566,-0.150073321186952,251,238,251,222,-0.123364095679021,0.0447085648043944,0.0260698928942711
566,0.0167944037481834,0.0021589314225995,0.0020003526894027,,1,1,1,,,,
567,0.025578079315691,0.0556305417667993,0.171922569400893,0.0513655484855789,293,270,293,268,0.0780747739935104,0.0255635005778572,0.0561068063717629
568,0.0061926846314265,0.0005170621897746,0.0331850611334853,-0.0460653240046939,167,159,167,156,-0.0193560984967624,0.00617810589359271,0.000993326794738172
570,0.0119165647732026,0.0970459386492364,0.148863661503261,0.0305806812617031,168,157,168,159,0.0572899067696346,0.0119019860353688,0.0975222032542
573,0.0223221946510905,0.0082492013378596,0.0560316046278467,-0.033910749677939,282,270,282,258,-0.00720152417000751,0.0223076159132567,0.00872546594282317
574,-0.0204233435154344,0.169660721875747,0.0019814787652686,-0.275473772841402,641,624,641,359,-0.248764547333471,-0.0204379222532682,0.170136986480711
575,-0.0458689433122406,-0.0859937519009804,-0.039607411075905,-0.108320654423571,600,559,600,364,-0.0816114289156395,-0.0458835220500744,-0.0855174872960168
578,-0.0122808071568333,-0.0211975546928633,-0.0927985737556782,-0.138290772218091,154,148,154,67,-0.11158154671016,-0.0122953858946671,-0.0207212900878997
579,0.0257937188856759,0.0151101713717579,0.121418094582789,-0.0796255474375528,455,429,455,419,-0.0529163219296213,0.0257791401478421,0.0155864359767215
580,0.126659946359908,0.0527618714736993,0.14825588928373,0.414357986506404,424,410,424,411,0.441067212014335,0.126645367622074,0.0532381360786629
581,0.0208510540776995,-0.0290977119954857,0.0129222431089561,-0.0010304209013325,162,156,162,149,0.025678804606599,0.0208364753398657,-0.0286214473905221
582,0.0170868104418681,0.0181207004387646,0.0915488140519216,0.171208905319836,213,207,213,197,0.197918130827768,0.0170722317040343,0.0185969650437282
583,0.0198457631676523,0.0126515214799358,0.0313854089483335,0.128611306436249,259,252,259,251,0.155320531944181,0.0198311844298185,0.0131277860848994
585,0.385697247827842,-0.0082340361406686,0.151927008780886,0.582589996094901,182,177,182,178,0.609299221602833,0.385682669090008,-0.00775777153570503
587,0.262677791048831,0.0966728950245518,0.132344206291208,0.626876674487638,77,77,77,74,0.653585899995569,0.262663212310997,0.0971491596295154
589,-0.0048335863916728,0.0166160302227088,0.0272752217870709,0.0886719094255225,105,100,105,98,0.115381134933454,-0.00484816512950659,0.0170922948276724
590,0.0046042475787562,0.107306771850405,0.114887279577092,0.415095493599401,268,253,268,250,0.441804719107333,0.00458966884092241,0.107783036455369
591,0.295347723012911,0.0309960399126698,0.136994566241036,0.291651564044908,193,191,193,183,0.31836078955284,0.295333144275077,0.0314723045176334
597,-0.0351951326702651,0.0072320535306085,-0.088420688087407,-0.0372509854949203,48,48,48,22,-0.0105417599869888,-0.0352097114080989,0.00770831813557207
