school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_highinst_highpay_math_orth_va,math_highinst_highpay_highinst_orth_va,math_highinst_highpay_highpay_orth_va
350,0.213692802193118,0.0360366408841118,0.0510545303391502,-0.114964307158961,236,223,236,208,-0.0882550816510295,0.239707411015916,0.0326627662478212
355,0.048341951198317,0.0026735630228232,-0.0376794485370427,0.0890474999424018,18,16,18,12,0.115756725450333,0.0141870888441222,-0.00336345289266199
356,0.306112781854372,0.0011320796189529,0.112855643302801,-0.202105426781485,285,275,285,270,-0.175396201273553,0.357828035948417,-0.00187114631237094
357,0.452277824065135,0.101529684287046,0.212629571605474,0.219206414420033,245,238,245,243,0.245915639927965,0.379735021501189,0.0758666784658543
358,0.334091979645885,0.0750783898508985,0.127976449086251,-0.0657577487976178,102,99,102,92,-0.0390485232896863,0.345594033351857,0.0654218628027734
361,0.439737205433733,0.0679541480147645,0.230609157591344,0.78381184554581,210,209,210,201,0.810521071053742,0.200674578859714,0.0192587589419962
364,0.305191808406309,0.0190179208423501,0.0913782594633773,0.0188178261380132,132,124,132,117,0.0455270516459447,0.291749876317191,0.00686213410590626
365,0.277733257491115,0.0271634776138852,0.11058605496075,-0.154801888943735,256,247,256,237,-0.128092663435804,0.315497216819735,0.0231922697465488
366,0.434724280892031,0.0915962750160079,0.219685530924223,0.545607328673911,234,232,234,225,0.572316554181843,0.265915626457144,0.0529807370413315
367,0.146132425195743,0.0551701695784023,0.0619444946261715,-0.0766079193808028,389,370,389,283,-0.0498986938728713,0.160834534013456,0.0525790761232957
371,-0.0093259326797219,-0.0007671674972038,-0.0256306478195005,-0.018393993940846,15,14,15,5,0.0083152315670855,-0.0117929336239684,-0.000307917447740905
372,0.132846967913893,0.0248067068199882,-0.0256722634302733,-0.133976272909517,288,274,288,174,-0.107267047401586,0.164468800855232,0.0250682427872558
373,0.207541249676152,-0.0392725476918587,-0.0116819063927436,-0.0592855399816935,328,315,328,288,-0.032576314473762,0.217134446305005,-0.0447448143597856
379,0.0973425207028291,-0.0560707382085502,-0.0744745489703672,-0.0944695810197834,573,551,573,380,-0.0677603555118519,0.117312592931238,-0.0562022998483217
381,-0.0110046869858878,-0.0054612680367599,-0.0177455808500174,,1,1,1,,,,
384,0.143534715600737,0.033554298238393,0.0442490865753025,-0.0995326049050418,405,386,405,285,-0.0728233793971103,0.164998032137212,0.032007721396793
392,0.0093854621532928,0.0021846030098518,0.0657637422956263,-0.0861563911982292,256,243,256,221,-0.0594471656902977,0.0269037143499896,0.00480264339328755
396,0.122917976291502,-0.0098899626464165,0.032278455066301,-0.154703386600864,464,434,464,279,-0.127994161092933,0.160652884194302,-0.00841728571754063
397,0.0221856111889124,-0.0020567905297555,-0.0132685692219943,0.0060796831632213,5,5,5,2,0.0327889086711528,0.0125005563975346,-0.00372394051181566
399,0.160224442763756,0.0187933824995693,0.0430770316655341,-0.0427472177763231,538,510,538,234,-0.0160379922683916,0.164939970225366,0.0142986163661654
400,0.238974693668253,-0.0087282502784942,0.0404051522028577,-0.0642694640916291,532,510,532,432,-0.0375602385836976,0.250037805604175,-0.0150994574169295
415,0.216167867635337,-0.0188490405350763,0.0243120242990395,-0.16589001652305,302,287,302,279,-0.139180791015119,0.257202063046219,-0.0201927570640006
416,-0.0033032151536823,-0.0010781135882111,-0.0082060586477382,,1,1,1,,,,
419,0.0007464645877829,-0.0195932054120368,-0.0199876259908991,,13,12,13,,,,
420,0.141529793944215,0.0311505589587319,-0.0101653966814199,-0.0428464716588501,273,257,273,120,-0.0161372461509186,0.146274594484225,0.0273177876977572
429,0.299479044837306,0.0212945678128809,0.120182873770547,-0.0527475640154295,544,529,544,499,-0.026038338507498,0.307143987596702,0.0123151732352227
430,0.136761423798709,-0.0193423686604998,0.0124512125945895,-0.165735428632388,224,210,224,143,-0.139026203124456,0.177750026399235,-0.0178981839289169
431,0.329405410073128,0.0210308962987281,0.0825798489515964,-0.0503071054486839,192,182,192,171,-0.0235978799407524,0.336350585170658,0.0108969240539632
