outcome,psu_score_bin,students,benefit_assignments,share,sample,se,lower,upper
Beca Nuevo Milenio,480,2525,59,0.0233663366336634,Lottery sample,0.00300628720365926,0.0174740137144912,0.0292586595528355
Beca Nuevo Milenio,485,2011,44,0.0218796618597713,Lottery sample,0.00326219871495125,0.0154857523784668,0.0282735713410757
Beca Nuevo Milenio,490,2227,39,0.0175123484508307,Lottery sample,0.00277955733478445,0.0120644160746532,0.0229602808270082
Beca Nuevo Milenio,495,2256,44,0.0195035460992908,Lottery sample,0.00291145617072658,0.0137970920046667,0.0252100001939149
Beca Nuevo Milenio,500,2839,53,0.0186685452624163,Lottery sample,0.00254027305753415,0.0136896100696494,0.0236474804551833
Beca Nuevo Milenio,505,1752,29,0.0165525114155251,Lottery sample,0.00304817912759884,0.0105780803254314,0.0225269425056188
Beca Nuevo Milenio,510,2409,22,0.0091324200913242,Lottery sample,0.00193812752738608,0.00533369013764748,0.0129311500450009
Beca Nuevo Milenio,515,1996,1,0.000501002004008016,Lottery sample,0.000500876486780941,0,0.00148271991809866
Beca Nuevo Milenio,520,2283,1,0.000438020148926851,Lottery sample,0.000437924207594208,0,0.0012963515958115
Beca Nuevo Milenio,525,1791,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,530,2429,1,0.000411692054343351,Lottery sample,0.000411607300445522,0,0.00121844236321657
Beca Nuevo Milenio,535,1867,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,540,2388,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,545,1886,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,550,2691,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,555,1774,2,0.00112739571589628,Lottery sample,0.000796739655244447,0,0.0026890054401754
Beca Nuevo Milenio,560,1956,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,565,1597,2,0.00125234815278647,Lottery sample,0.00088498919290908,0,0.00298692697088827
Beca Nuevo Milenio,570,1838,2,0.00108813928182807,Lottery sample,0.000769011927248176,0,0.0025954026592345
Beca Nuevo Milenio,575,1700,1,0.000588235294117647,Lottery sample,0.000588062258286835,0,0.00174083732035984
Beca Nuevo Milenio,580,1984,1,0.000504032258064516,Lottery sample,0.000503905217795815,0,0.00149168648494431
Beca Nuevo Milenio,585,1547,2,0.00129282482223659,Lottery sample,0.000913574079844469,0,0.00308343001873175
Beca Nuevo Milenio,590,1844,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,595,1501,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,600,1668,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,605,1199,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,610,1383,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,615,1286,2,0.0015552099533437,Lottery sample,0.00109884403963469,0,0.0037089442710277
Beca Nuevo Milenio,620,1384,1,0.000722543352601156,Lottery sample,0.000722282270983743,0,0.00213821660372929
Beca Nuevo Milenio,625,1015,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,630,1186,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,635,1030,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,640,1241,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,645,952,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,650,1062,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,655,781,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,660,902,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,665,711,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,670,788,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,675,602,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,680,723,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,685,556,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,690,727,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,695,475,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,700,589,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,705,444,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,710,455,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,715,412,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,720,361,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,725,348,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,730,367,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,735,356,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,740,366,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,745,234,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,750,346,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,755,185,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,760,272,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,765,174,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,770,212,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,775,196,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,780,196,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,785,143,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,790,173,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,795,144,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,800,138,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,810,129,0,0,Lottery sample,0,0,0
Beca Nuevo Milenio,270,114,14,0.12280701754386,Whole grade-8 universe,0.0307402036864238,0.062556218318469,0.18305781676925
Beca Nuevo Milenio,280,176,24,0.136363636363636,Whole grade-8 universe,0.0258677355899771,0.0856628746072813,0.187064398119991
Beca Nuevo Milenio,285,178,16,0.0898876404494382,Whole grade-8 universe,0.0214381593709151,0.0478688480824445,0.131906432816432
Beca Nuevo Milenio,290,224,20,0.0892857142857143,Whole grade-8 universe,0.0190527668957776,0.0519422911699902,0.126629137401438
Beca Nuevo Milenio,295,224,18,0.0803571428571429,Whole grade-8 universe,0.0181634287749179,0.0447568224583037,0.115957463255982
Beca Nuevo Milenio,300,356,29,0.0814606741573034,Whole grade-8 universe,0.0144976589279389,0.0530452626585432,0.109876085656064
Beca Nuevo Milenio,305,315,32,0.101587301587302,Whole grade-8 universe,0.0170216782176283,0.06822481228075,0.134949790893853
Beca Nuevo Milenio,310,426,41,0.0962441314553991,Whole grade-8 universe,0.0142891993270431,0.0682373007743946,0.124250962136404
Beca Nuevo Milenio,315,475,31,0.0652631578947368,Whole grade-8 universe,0.0113326615182418,0.0430511413189829,0.0874751744704908
Beca Nuevo Milenio,320,560,41,0.0732142857142857,Whole grade-8 universe,0.0110076235012728,0.0516393436517911,0.0947892277767803
Beca Nuevo Milenio,325,527,40,0.0759013282732448,Whole grade-8 universe,0.0115366190871197,0.0532895548624902,0.0985131016839993
Beca Nuevo Milenio,330,788,51,0.0647208121827411,Whole grade-8 universe,0.00876454763493878,0.0475422988182611,0.0818993255472211
Beca Nuevo Milenio,335,689,55,0.0798258345428157,Whole grade-8 universe,0.0103251683344873,0.0595885046072206,0.100063164478411
Beca Nuevo Milenio,340,1045,68,0.0650717703349282,Whole grade-8 universe,0.00763004857042155,0.050116875136902,0.0800266655329545
Beca Nuevo Milenio,345,848,51,0.0601415094339623,Whole grade-8 universe,0.0081643284941613,0.0441394255854061,0.0761435932825184
Beca Nuevo Milenio,350,1374,94,0.0684133915574964,Whole grade-8 universe,0.00681065392241239,0.0550645098695681,0.0817622732454246
Beca Nuevo Milenio,355,1088,69,0.0634191176470588,Whole grade-8 universe,0.00738870443824007,0.0489372569481083,0.0779009783460094
Beca Nuevo Milenio,360,1692,132,0.0780141843971631,Whole grade-8 universe,0.00652001697946674,0.0652349511174083,0.0907934176769179
Beca Nuevo Milenio,365,1461,77,0.052703627652293,Whole grade-8 universe,0.00584572099860687,0.0412460144950235,0.0641612408095624
Beca Nuevo Milenio,370,2305,123,0.0533622559652928,Whole grade-8 universe,0.00468137610724898,0.0441867587950848,0.0625377531355009
Beca Nuevo Milenio,375,1925,93,0.0483116883116883,Whole grade-8 universe,0.00488717744923839,0.0387328205111811,0.0578905561121955
Beca Nuevo Milenio,380,2772,144,0.051948051948052,Whole grade-8 universe,0.00421506316921944,0.0436865281363818,0.0602095757597221
Beca Nuevo Milenio,385,2762,161,0.0582910934105721,Whole grade-8 universe,0.00445807738388904,0.0495532617381495,0.0670289250829946
Beca Nuevo Milenio,390,3502,159,0.0454026270702456,Whole grade-8 universe,0.00351797329045416,0.0385073994209554,0.0522978547195357
Beca Nuevo Milenio,395,3575,155,0.0433566433566434,Whole grade-8 universe,0.00340615834023287,0.0366805730097869,0.0500327137034998
